,opprpg
2977,4.07185
512,5.10078
122,4.85895
3795,4.70696
4204,5.10078
4623,4.50252
3411,4.32337
4717,4.62384
4707,4.57865
5398,4.37905
1096,4.08073
5499,4.60824
1093,4.55336
2811,3.87468
2081,4.60824
3115,4.49876
56,5.04133
370,4.64186
1044,4.83016
3769,4.58322
625,4.49768
806,4.79788
1593,4.10467
4278,4.05356
4458,4.28517
1439,4.499191986754966
5113,4.51678
2525,4.64186
2419,4.10467
1742,3.46795
3880,5.39802
797,4.43662
1663,4.48127
3913,3.87817
1674,4.01644
4708,4.72014
5400,4.32902
3119,4.43204
1997,4.61604
2017,4.47535
3847,4.01509
1793,4.47535
856,4.61604
2526,4.32283
3032,5.10078
1710,4.05356
4760,4.54341
2084,4.73359
1918,5.05048
4335,4.32902
5312,4.72014
2473,4.15282
3551,5.01201
3061,4.49768
4636,4.15282
291,4.43662
1257,4.48127
5231,4.73279
5607,4.32337
5546,4.00514
2176,4.60824
3565,4.05356
1326,4.10467
1501,5.01201
1775,4.11785
461,4.97381
4230,4.50306
5015,4.50898
1080,5.398020000000001
4199,4.21496
1022,3.87817
3405,4.43204
798,4.28947
3956,4.15524
1113,4.13641
1466,4.43662
4625,4.01644
1792,4.32902
371,4.50252
5494,4.50252
303,4.15524
31,4.49768
1448,4.0619
4497,4.70759875
3100,4.11785
3714,4.90387
4095,4.304
349,4.69486
3149,4.06217
193,4.73279
449,4.61604
1258,4.49768
299,4.77852
2718,4.70546
5543,4.32283
3546,4.304
622,4.49876
1835,4.69486
2956,4.90387
748,4.86675
4265,4.58322
1418,4.15282
2733,4.54341
1931,4.6954
2182,4.13265
3696,4.28517
1083,4.63299
2020,5.05048
900,4.07777
2513,4.13399
3005,4.32902
3741,5.29365
1833,4.57865
1639,5.04133
946,4.07777
1732,4.50306
2680,4.71718
3089,4.6826209756097565
5438,4.60824
3053,4.90387
2629,4.41052
5257,5.39802
986,4.481
4355,4.43204
20,4.57865
2147,4.50252
373,4.63299
195,5.10078
705,4.0619
2552,3.46795
4387,5.04133
4103,4.85895
647,4.32902
4070,4.44684
199,4.72014
3399,4.22707
3505,4.16762
2103,4.97381
788,4.29243
2294,4.86675
2395,4.71718
2463,4.32283
5538,4.43204
1156,4.63756
1637,5.39802
4133,3.88302
523,4.61604
720,5.10078
541,4.10117
3899,4.06809
737,4.07185
1293,3.85934
1386,4.49876
5586,3.87737
4414,4.86675
3075,4.92028
4540,4.15524
4767,4.43204
702,4.21227
857,4.60824
1099,4.06809
5006,5.2498
880,4.96224
2531,4.63541
153,4.58322
5492,4.29243
5396,4.63756
4451,4.85895
5521,3.92041
5653,4.58322
430,4.58322
5606,4.66123
400,4.55336
5121,4.16762
3312,3.4085
553,4.01509
1584,4.22222
609,4.15524
1178,4.72014
2600,4.704
3541,4.11785
5453,4.29243
691,4.934
4674,4.07777
5255,4.88558
3262,4.704
3654,4.21496
5576,4.28947
3139,3.87817
5582,3.4085
1871,4.05356
2806,3.88302
2357,4.32337
4365,4.85895
1272,4.05356
3781,4.90387
4101,4.6625733333333335
1666,4.58322
1153,4.49768
1823,4.00514
2003,4.79788
889,4.51678
4535,4.02801
4479,4.3812
305,3.97959
3183,4.5001
704,3.87817
2324,4.21227
2634,5.10078
5621,4.41052
3770,4.63756
4137,4.16762
812,4.304
2804,4.95606
5230,4.32337
762,4.13265
4722,4.97381
2599,4.85895
2840,4.61604
5673,4.8086598
5459,4.92028
1059,4.83016
549,4.48127
1038,4.10467
3852,4.44684
5300,5.10078
3421,4.5001
907,4.54341
442,4.15524
3534,3.97501
3489,4.22222
4000,5.05048
1446,4.01509
4803,4.00514
4977,4.79788
5311,4.32337
2527,4.32902
833,4.292430000000001
5067,4.11785
4267,4.934
3123,4.37905
1842,3.97959
3282,4.28517
5385,4.15524
138,4.686935871559633
3145,4.01509
1104,3.82357
2713,3.67965
2583,4.50252
464,4.481
2191,4.22707
3448,4.92028
2495,5.29365
1669,4.88558
4224,4.3812
5133,4.37905
4154,4.37905
5367,4.49876
854,4.63299
2343,4.15282
482,4.92028
5124,4.13399
1021,4.01509
1041,3.88302
5635,4.73359
263,4.15524
3651,4.5235
251,4.29862
4850,4.71718
1849,4.01509
3661,3.99035
1662,4.07185
2930,3.8623
1054,4.304
5281,4.50898
5023,4.79788
4054,4.481
267,4.934
3318,3.67965
1276,4.32283
4036,4.28947
3,3.4085
352,4.97381
3147,4.0619
2845,4.481
906,3.97959
3488,3.99035
4811,4.95606
5473,4.08073
4800,4.11785
5283,4.15524
3510,4.11785
5486,3.97501
5672,4.481
4220,4.02801
2154,4.66123
2839,4.63756
3918,4.63756
2063,4.43204
2441,3.679650000000001
4896,3.87737
1094,4.86675
4822,4.32283
2363,4.301865346534655
268,4.37905
1431,4.13399
3926,4.5235
5027,4.79788
2007,4.661230000000001
5042,4.01509
317,3.4085
3888,4.32337
3087,4.22222
1977,4.4558527516778526
1781,4.62384
2666,4.50898
3704,4.07185
1486,4.77852
4713,4.95606
3142,4.37636
2059,4.01509
